Time, x, y, z, view_x, view_y, view_z
-1, -1.143, 1.900, -11.929, 0, 0, 0
-2, -1.143, 1.900, -10.929, 0, 0, 0
-3, -2.143, 0.900, -11.929, 0, 0, 0
-4, -0.143, 1.900, -11.929, 0, 0, 0
-5, -2.143, 1.900, -10.929, 0, 0, 0
0.000, -0.316, 1.138, -4.478, -0.110, 0.101, -0.989
0.042, -0.316, 1.138, -4.478, -0.110, 0.101, -0.989
0.083, -0.316, 1.138, -4.478, -0.110, 0.101, -0.989
0.125, -0.316, 1.138, -4.479, -0.110, 0.101, -0.989
0.167, -0.316, 1.138, -4.479, -0.110, 0.101, -0.989
0.208, -0.316, 1.138, -4.479, -0.110, 0.101, -0.989
0.250, -0.316, 1.138, -4.480, -0.110, 0.101, -0.989
0.292, -0.316, 1.138, -4.480, -0.110, 0.101, -0.989
0.333, -0.316, 1.138, -4.481, -0.110, 0.101, -0.989
0.375, -0.316, 1.137, -4.481, -0.110, 0.101, -0.989
0.417, -0.316, 1.137, -4.482, -0.110, 0.101, -0.989
0.458, -0.316, 1.137, -4.483, -0.110, 0.101, -0.989
0.500, -0.316, 1.137, -4.484, -0.110, 0.101, -0.989
0.542, -0.316, 1.137, -4.485, -0.110, 0.101, -0.989
0.583, -0.316, 1.137, -4.486, -0.110, 0.101, -0.989
0.625, -0.316, 1.137, -4.487, -0.110, 0.101, -0.989
0.667, -0.316, 1.137, -4.488, -0.110, 0.101, -0.989
0.708, -0.316, 1.137, -4.490, -0.110, 0.101, -0.989
0.750, -0.316, 1.137, -4.491, -0.110, 0.101, -0.989
0.792, -0.316, 1.136, -4.493, -0.110, 0.102, -0.989
0.833, -0.316, 1.136, -4.494, -0.110, 0.102, -0.989
0.875, -0.316, 1.136, -4.496, -0.110, 0.102, -0.989
0.917, -0.316, 1.136, -4.498, -0.110, 0.102, -0.989
0.958, -0.316, 1.136, -4.499, -0.110, 0.102, -0.989
1.000, -0.316, 1.136, -4.501, -0.110, 0.102, -0.989
1.042, -0.316, 1.136, -4.503, -0.110, 0.102, -0.989
1.083, -0.316, 1.135, -4.505, -0.110, 0.102, -0.989
1.125, -0.317, 1.135, -4.507, -0.110, 0.102, -0.989
1.167, -0.317, 1.135, -4.509, -0.110, 0.102, -0.989
1.208, -0.317, 1.135, -4.512, -0.110, 0.102, -0.989
1.250, -0.317, 1.135, -4.514, -0.110, 0.102, -0.989
1.292, -0.317, 1.134, -4.516, -0.110, 0.102, -0.989
1.333, -0.317, 1.134, -4.519, -0.110, 0.102, -0.989
1.375, -0.317, 1.134, -4.521, -0.110, 0.102, -0.989
1.417, -0.317, 1.134, -4.524, -0.110, 0.102, -0.989
1.458, -0.317, 1.133, -4.527, -0.110, 0.102, -0.989
1.500, -0.317, 1.133, -4.530, -0.110, 0.102, -0.989
1.542, -0.317, 1.133, -4.532, -0.110, 0.103, -0.989
1.583, -0.317, 1.133, -4.535, -0.110, 0.103, -0.989
1.625, -0.317, 1.132, -4.538, -0.111, 0.103, -0.989
1.667, -0.317, 1.132, -4.541, -0.111, 0.103, -0.989
1.708, -0.317, 1.132, -4.545, -0.111, 0.103, -0.989
1.750, -0.317, 1.131, -4.548, -0.111, 0.103, -0.989
1.792, -0.317, 1.131, -4.551, -0.111, 0.103, -0.989
1.833, -0.317, 1.131, -4.555, -0.111, 0.103, -0.988
